Publisher_Id,Revenue(AUG),CR(click to install),Clicks,Installs,Fraud,GP(AUG),Rank1-5
1," $34,904.10 ",0.114,210859.4815,7696,3608," $13,043.81 ",
2," $2,501.12 ",0.065,50093.40741,1051,150, $-306.66 ,
3," $30,905.06 ",0.028,903515.7778,8025,1885," $1,357.80 ",
4," $46,287.50 ",0.013,2436227.185,10545,4134," $15,891.12 ",
5," $17,826.55 ",0.063,238851.7778,4801,4198," $5,630.88 ",
6," $15,930.83 ",0.144,103191.9259,4793,1690," $5,276.99 ",
7," $8,789.86 ",0.135,51603.55556,2245,3688," $3,152.24 ",
8," $7,376.25 ",0.061,79095.62963,1553,0," $2,142.85 ",
9," $3,851.22 ",0.067,36380.51852,787,391," $1,324.47 ",
10," $5,408.35 ",0.101,41328.37037,1338,425," $1,687.52 ",
12," $2,552.15 ",0.797,2127.62963,545,560," $1,021.59 ",
13," $6,257.75 ",0.040,101634.1481,1317,," $2,263.07 ",
14," $3,894.84 ",0.275,11604.51852,1025,7, $797.69 ,
15," $26,316.42 ",0.045,257475.1852,3722,1323," $9,046.64 ",
16," $7,730.99 ",0.046,125743.8519,1853,673," $1,079.62 ",
17," $1,764.73 ",0.068,17268.66667,378,233, $542.80 ,
18," $7,160.07 ",0.065,87528.66667,1819,161," $2,715.88 ",
19," $11,963.28 ",0.126,89687.11111,3622,1079," $3,995.63 ",
20," $3,757.70 ",0.058,67718.66667,1253,1294," $1,025.30 ",
22," $2,084.04 ",0.065,45964,958,27, $400.57 ,
23," $3,297.99 ",0.404,8266.814815,1075,467," $1,232.36 ",
24," $3,297.69 ",0.253,8667.185185,705,1910," $1,675.97 ",
25, $341.09 ,0.428,529.7777778,73,, $107.39 ,
26," $1,072.07 ",0.033,26077.33333,280,156, $114.88 ,
27," $1,056.71 ",0.440,1597.62963,226,33, $458.51 ,
28, $3.11 ,0.020,219.4074074,1,3, $-0.41 ,
29," $7,104.73 ",0.325,15275.55556,1595,387," $3,796.84 ",
30," $1,048.68 ",7.095,98.22222222,224,5, $432.53 ,
31, $0.62 ,1.714,0.518518519,0,0, $0.51 ,
32, $14.40 ,0.015,939.6296296,5,0, $10.62 ,
33, $24.08 ,0.216,74.07407407,5,5, $5.37 ,
34, $63.38 ,0.004,21140.81481,29,, $-7.10 ,
35, $898.87 ,0.656,910.8148148,192,47, $349.79 ,
36," $1,797.74 ",0.327,3654.296296,384,213, $721.66 ,
37, $992.60 ,0.410,3625.407407,478,194, $343.60 ,
38, $-   ,0.000,378.2962963,0,0, $-   ,
39, $15.00 ,0.022,12631.55556,88,0, $12.35 ,
40," $9,630.92 ",0.041,188974.0741,2486,," $1,891.27 ",
42," $8,689.79 ",0.011,545440.2963,1857,391," $3,698.92 ",
43," $7,910.45 ",0.067,121684.2222,2602,608," $3,645.33 ",
44," $3,347.05 ",0.111,27542.2963,980,17," $1,048.05 ",
45," $8,390.53 ",0.042,182573.037,2489,599," $3,001.12 ",
46," $4,273.92 ",0.008,391531.1852,969,701," $3,517.44 ",
47, $823.42 ,0.015,65697.85185,321,23, $381.39 ,
48, $21.75 ,0.024,1094.666667,8,0, $2.59 ,
49, $501.60 ,0.313,1066.222222,107,111, $144.24 ,
50," $8,226.29 ",0.085,88618.37037,2423,," $2,499.54 ",
51," $5,951.32 ",0.061,64092.44444,1262,684," $2,534.73 ",
52, $284.91 ,0.487,388.5185185,61,7, $106.71 ,
55," $1,317.54 ",0.145,6027.777778,281,36, $496.00 ,
56," $12,989.69 ",0.007,1157332.37,2773,2111," $10,690.52 ",
57, $14.71 ,9.429,1.037037037,3,9, $5.63 ,
58," $1,348.90 ",0.052,19642,330,17, $655.48 ,
59," $1,194.48 ",0.208,3814.814815,255,, $404.39 ,
60," $1,488.76 ",0.931,1062.222222,318,527, $513.06 ,
61," $2,867.83 ",0.960,1984.666667,613,2105," $1,028.07 ",
62," $5,915.90 ",0.021,219081.9259,1488,971," $2,365.85 ",
63," $2,798.17 ",0.148,12570.74074,597,22, $852.60 ,
64," $1,462.00 ",0.134,7259.555556,312,190, $517.71 ,
65, $267.40 ,0.000,142186.0741,23,, $218.39 ,
67," $1,209.20 ",0.227,3546.222222,258,46, $319.65 ,
68, $14.84 ,0.090,13443.40741,389,0, $5.17 ,
69, $480.20 ,0.278,1149.851852,103,51, $238.25 ,
70, $831.99 ,0.662,834.962963,178,660, $357.34 ,
72," $3,058.78 ",0.005,426454.4444,658,20, $851.91 ,
73," $1,912.72 ",0.003,529572.963,529,, $853.96 ,
74, $840.02 ,0.759,735.8518519,179,36, $336.02 ,
75," $2,332.78 ",0.206,7533.62963,499,636, $764.39 ,
76, $675.49 ,0.401,1118.074074,144,170, $555.93 ,
77, $322.36 ,0.353,895.037037,101,3, $111.98 ,
78," $4,272.31 ",0.331,8589.259259,913,1," $1,324.01 ",
79, $3.11 ,0.324,13.7037037,1,0, $1.08 ,
80," $1,024.61 ",0.251,2710.592593,219,23, $843.25 ,
81, $7.46 ,0.071,2339.555556,54,, $-0.53 ,
82, $370.52 ,1.009,244,79,33, $137.39 ,
83, $398.61 ,0.329,806.2962963,85,0, $141.40 ,
84, $487.66 ,0.053,6064,104,117, $198.69 ,
85, $2.63 ,0.188,4.740740741,0,, $0.31 ,
